protocolo,instituto,campo,n,contratante,registro_dt,confianca,base
BR028742026,NEXUS,2026-07-31..2026-08-02,2000,NEXUS PESQUISA E INTELIGENCIA DE DADOS LTDA,2026-07-28,medium,nacional-marker
BR045792026,"BOAS IDEIAS, ESTRATEGIA E INTELIGENCIA DIGITAL.",2026-07-31..2026-08-03,1500,BOAS IDEIAS INTELIGENCIA EM PESQUISA E ESTRATEGIA DIGITAL LTDA,2026-07-30,high,muni:abrangencia=nacional
BR065912026,#NULO#,2026-07-31..2026-08-03,2004,"QUAEST PESQUISAS, CONSULTORIA E PROJETOS LTDA.",2026-07-30,high,muni:abrangencia=nacional
BR010782026,INSTITUTO PHOENIX & ASSOCIADOS,2026-08-04..2026-08-07,1311,J J COELHO,2026-08-03,high,plano:universo=brasil
BR065962026,PALVER,2026-08-03..2026-08-09,5000,PALVER CONSULTORIA E DESENVOLVIMENTO TECNOLOGICO LTDA.,2026-08-04,medium,nacional-marker
BR080452026,GRUPO GERP GERP MERCADO GERP OPINIAO GERPAUDIT,2026-08-06..2026-08-10,2400,GERP MERCADOLOGIA LTDA,2026-08-04,medium,nacional-marker
BR084282026,NEXUS,2026-08-07..2026-08-09,2000,NEXUS PESQUISA E INTELIGENCIA DE DADOS LTDA,2026-08-04,medium,nacional-marker
BR069352026,#NULO#,2026-08-05..2026-08-09,2002,MDA-PESQUISA DE OPINIAO PUBLICA E CONSULT. ESTATIST. LTDA - EPP,2026-08-05,high,muni:abrangencia=nacional
BR081092026,100 CIDADES,2026-08-03..2026-08-06,2000,100% CIDADES PARTICIPACOES LTDA,2026-08-05,high,muni:abrangencia=nacional
BR068682026,PODERDATA,2026-08-09..2026-08-12,2400,"PODERDATA PESQUISA, JORNALISMO E COMUNICACAO LTDA",2026-08-07,high,muni:abrangencia=nacional
BR067732026,#NULO#,2026-08-10..2026-08-13,2004,"QUAEST PESQUISAS, CONSULTORIA E PROJETOS LTDA.",2026-08-08,high,muni:abrangencia=nacional
BR033172026,NEXUS,2026-08-14..2026-08-16,2000,NEXUS PESQUISA E INTELIGENCIA DE DADOS LTDA,2026-08-11,medium,nacional-marker
